=== ALL TEXT OBJECTS IN SCENE ===
[UI.Text] GameObject: 'CountText', Path: 'SlotCanvas/TruckPool/Place_8/[PreviewTile_7]/CapacityBadgeCanvas/BadgeRoot/CountText', Text: '16', Active: True, Pos: (1.74, -4.42, -1.38)
[UI.Text] GameObject: 'CountText', Path: 'SlotCanvas/TruckPool/Place_4/[PreviewTile_3]/CapacityBadgeCanvas/BadgeRoot/CountText', Text: '16', Active: True, Pos: (1.74, -3.26, -1.20)
[UI.Text] GameObject: 'CountText', Path: 'SlotCanvas/TruckPool/Place_7/[PreviewTile_6]/CapacityBadgeCanvas/BadgeRoot/CountText', Text: '16', Active: True, Pos: (0.58, -4.42, -1.38)
[UI.Text] GameObject: 'CountText', Path: 'SlotCanvas/TruckPool/Place_5/[PreviewTile_4]/CapacityBadgeCanvas/BadgeRoot/CountText', Text: '16', Active: True, Pos: (-1.74, -4.42, -1.38)
[UI.Text] GameObject: 'CountText', Path: 'SlotCanvas/TruckPool/Place_1/[PreviewTile_0]/CapacityBadgeCanvas/BadgeRoot/CountText', Text: '16', Active: True, Pos: (-1.74, -3.26, -1.20)
[UI.Text] GameObject: 'CountText', Path: 'SlotCanvas/TruckPool/Place_3/[PreviewTile_2]/CapacityBadgeCanvas/BadgeRoot/CountText', Text: '16', Active: True, Pos: (0.58, -3.26, -1.20)
[UI.Text] GameObject: 'CountText', Path: 'SlotCanvas/TruckPool/Place_6/[PreviewTile_5]/CapacityBadgeCanvas/BadgeRoot/CountText', Text: '16', Active: True, Pos: (-0.58, -4.42, -1.38)
[UI.Text] GameObject: 'CountText', Path: 'SlotCanvas/TruckPool/Place_2/[PreviewTile_1]/CapacityBadgeCanvas/BadgeRoot/CountText', Text: '16', Active: True, Pos: (-0.58, -3.26, -1.20)
[TMP_UGUI] GameObject: 'LevelLabel', Path: 'Canvas/TopUI/StatsRow/LevelLabel', Text: 'LEVEL 1', Active: True, Pos: (624.60, 414.57, 0.00)
[TMP_UGUI] GameObject: 'Count', Path: 'Canvas/TopUI/StatsRow/CoinPill/Count', Text: '250', Active: True, Pos: (629.22, 414.57, 0.00)
[TMP_UGUI] GameObject: 'CounterText', Path: 'SlotCanvas/SlotRow/CounterText', Text: '0/5', Active: True, Pos: (-2.69, -0.64, -0.49)
[TMP_UGUI] GameObject: 'Count', Path: 'Canvas/TopUI/StatsRow/HeartPill/Count', Text: '3', Active: True, Pos: (629.22, 414.57, 0.00)
[TMP_UGUI] GameObject: 'CounterText', Path: 'SlotCanvas/SlotRow/TrackCornerSlot/CounterText', Text: '0/5', Active: True, Pos: (-2.70, -0.22, -1.20)
